,waste,wst_oper,unit,countryID,y2018,y2017,y2016,y2015,y2014,y2013,y2012,y2011,y2010,y2009,y2008,y2007,y2006,y2005,sum_year
8759,EE_TLS,RCV,KG_HAB,DK,,0.04,0.04,0.09,0.11,0.03,0.06,0.07,0.11,0.15,0.1,0.18,0.05,,1.03
8760,EE_TLS,RCV,KG_HAB,EE,,0.0,0.0,0.01,0.04,0.01,0.0,0.01,0.01,0.01,0.01,0.0,,,0.09999999999999999
8761,EE_TLS,RCV,KG_HAB,GR,,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.0,0.17000000000000004
8762,EE_TLS,RCV,KG_HAB,ES,,0.07,0.05,0.04,0.04,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.0,,0.56
8763,EE_TLS,RCV,KG_HAB,EU27_2020,,0.04,0.04,0.04,0.04,,,,,,,,,,0.16
8764,EE_TLS,RCV,KG_HAB,EU28,,0.04,0.04,0.04,0.04,,,,,,,,,,0.16
8765,EE_TLS,RCV,KG_HAB,FI,,0.03,0.02,0.03,0.03,0.03,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.18999999999999997
8766,EE_TLS,RCV,KG_HAB,FR,,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.0,0.0,0.0,,0.22000000000000003
8767,EE_TLS,RCV,KG_HAB,HR,,0.01,0.01,0.02,0.03,0.01,0.01,,,,,,,,0.09
8768,EE_TLS,RCV,KG_HAB,HU,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.09
8769,EE_TLS,RCV,KG_HAB,IE,,0.05,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.0,0.0,,,0.14
8770,EE_TLS,RCV,KG_HAB,IS,,0.03,0.01,0.02,0.0,0.0,0.02,0.02,0.01,0.0,,,,,0.11
8771,EE_TLS,RCV,KG_HAB,IT,,,,0.01,0.0,,,,,,,,,,0.01
8772,EE_TLS,RCV,KG_HAB,LT,,0.03,0.03,0.01,0.02,0.03,0.02,0.03,0.02,0.02,0.04,0.03,0.01,0.01,0.30000000000000004
8773,EE_TLS,RCV,KG_HAB,LU,,0.1,0.1,0.09,0.09,0.04,0.04,0.04,0.04,0.11,0.1,0.03,0.08,,0.86
8774,EE_TLS,RCV,KG_HAB,LV,,0.04,0.03,0.04,0.09,0.07,0.08,0.08,0.04,0.23,0.05,0.05,,,0.8000000000000002
8775,EE_TLS,RCV,KG_HAB,MT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8776,EE_TLS,RCV,KG_HAB,NL,,0.05,0.06,0.05,0.03,0.03,0.04,0.05,0.03,0.0,0.02,0.02,0.01,0.02,0.41000000000000003
8777,EE_TLS,RCV,KG_HAB,NO,,0.12,0.14,0.12,0.11,0.13,0.09,0.09,0.08,0.11,0.11,0.26,0.04,0.06,1.4600000000000002
8778,EE_TLS,RCV,KG_HAB,PL,,0.08,0.08,0.07,0.06,0.07,0.06,0.07,0.04,0.03,0.0,0.0,0.0,,0.56
8779,EE_TLS,RCV,KG_HAB,PT,,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.0,0.01,0.0,,0.13
8780,EE_TLS,RCV,KG_HAB,RO,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
8781,EE_TLS,RCV,KG_HAB,SE,,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.02,0.01,0.01,0.0,0.5900000000000001
8782,EE_TLS,RCV,KG_HAB,SI,,0.03,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,,,,,0.13
8783,EE_TLS,RCV,KG_HAB,SK,,0.03,0.02,0.03,0.02,0.02,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.19
